Directories,Filename,Corrupt,Size,Multipart,Outof,MultipartFilename,Types,FileDay,FileMonth,FileYear,FileFullDate,Currency
albaraka2006,01-january2006ctd_part1.pdf,no,109965,1,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part2.pdf,no,144040,2,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part3.pdf,no,94742,3,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part4.pdf,no,143366,4,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part5.pdf,no,128763,5,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part6.pdf,no,144646,6,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part7.pdf,no,745135,7,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part8.pdf,no,254233,8,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part9.pdf,no,98109,9,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part10.pdf,no,144627,10,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part11.pdf,no,329623,11,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part12.pdf,no,388973,12,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part13.pdf,no,40063,13,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part14.pdf,no,165911,14,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part15.pdf,no,64745,15,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
