CompanyRefUID,OldCompanyLine,Company
1,400661,MISSING NAME
2,3257018,MISSING NAME
3,8600819,MISSING NAME
4,70700000,MISSING NAME
5,621200724,MISSING NAME
6,624800794,MISSING NAME
7,627100366,MISSING NAME
8,700200771,MISSING NAME
9,700200774,MISSING NAME
10,700200776,MISSING NAME
11,700200783,MISSING NAME
12,700500854,MISSING NAME
13,700500873,MISSING NAME
14,700500875,MISSING NAME
15,700500878,MISSING NAME
16,701800602,MISSING NAME
17,701900518,MISSING NAME
18,701900520,MISSING NAME
19,702300917,MISSING NAME
20,702400433,MISSING NAME
21,702600589,MISSING NAME
22,703000710,MISSING NAME
23,703000711,MISSING NAME
24,703000712,MISSING NAME
25,703100890,MISSING NAME
26,704600391,MISSING NAME
27,705100891,MISSING NAME
28,705200664,MISSING NAME
29,705401450,MISSING NAME
30,705401681,MISSING NAME
31,705401683,MISSING NAME
32,705401686,MISSING NAME
33,705401687,MISSING NAME
34,706100735,MISSING NAME
35,706100736,MISSING NAME
36,706100738,MISSING NAME
37,706500832,MISSING NAME
38,706700492,MISSING NAME
39,707200702,MISSING NAME
40,707200703,MISSING NAME
41,707200776,MISSING NAME
42,707400874,MISSING NAME
43,707800007,MISSING NAME
44,707800008,MISSING NAME
45,707800010,MISSING NAME
46,708201915,MISSING NAME
47,709400659,MISSING NAME
48,709400685,MISSING NAME
49,709500869,MISSING NAME
50,709500870,MISSING NAME
51,709500905,MISSING NAME
52,710001280,MISSING NAME
53,710101050,MISSING NAME
54,710101072,MISSING NAME
55,710700841,MISSING NAME
56,710800707,MISSING NAME
57,710800709,MISSING NAME
58,710800724,MISSING NAME
59,710800957,MISSING NAME
60,710801331,MISSING NAME
61,711301044,MISSING NAME
62,711301045,MISSING NAME
63,711301046,MISSING NAME
64,711301047,MISSING NAME
65,715500547,MISSING NAME
66,715500549,MISSING NAME
67,715500551,MISSING NAME
68,715500586,MISSING NAME
69,715500589,MISSING NAME
70,715501453,MISSING NAME
71,715600560,MISSING NAME
72,715700633,MISSING NAME
73,715800484,MISSING NAME
74,715800487,MISSING NAME
75,715800490,MISSING NAME
76,716200542,MISSING NAME
77,716600348,MISSING NAME
78,716900741,MISSING NAME
79,716900751,MISSING NAME
80,717000044,MISSING NAME
81,717001317,MISSING NAME
82,717101100,MISSING NAME
83,717101240,MISSING NAME
84,717200887,MISSING NAME
85,717600727,MISSING NAME
86,717900707,MISSING NAME
87,719200415,MISSING NAME
88,719300811,MISSING NAME
89,719300813,MISSING NAME
90,721100902,MISSING NAME
91,721801191,MISSING NAME
92,722001284,MISSING NAME
93,722001295,MISSING NAME
94,722001296,MISSING NAME
95,722001298,MISSING NAME
96,722001301,MISSING NAME
97,722200878,MISSING NAME
98,722200883,MISSING NAME
99,722700921,MISSING NAME
100,722700922,MISSING NAME
101,722700923,MISSING NAME
102,722700925,MISSING NAME
103,722700926,MISSING NAME
104,722700927,MISSING NAME
105,722800835,MISSING NAME
106,722900796,MISSING NAME
107,723300846,MISSING NAME
108,723300944,MISSING NAME
109,724001057,MISSING NAME
110,724301481,MISSING NAME
111,724600967,MISSING NAME
112,724901012,MISSING NAME
113,725000513,MISSING NAME
114,725301204,MISSING NAME
115,725600544,MISSING NAME
116,725600547,MISSING NAME
117,725600836,MISSING NAME
118,725600840,MISSING NAME
119,725600842,MISSING NAME
120,725600844,MISSING NAME
121,726000607,MISSING NAME
122,726200983,MISSING NAME
123,726400651,MISSING NAME
124,726701698,MISSING NAME
125,727401067,MISSING NAME
126,728400798,MISSING NAME
127,730501059,MISSING NAME
128,730501232,MISSING NAME
129,730501399,MISSING NAME
130,731800876,MISSING NAME
131,732000457,MISSING NAME
132,732500816,MISSING NAME
133,732500911,MISSING NAME
134,732600474,MISSING NAME
135,732600476,MISSING NAME
136,732600478,MISSING NAME
137,732600974,MISSING NAME
138,735800532,MISSING NAME
139,736100453,MISSING NAME
140,736501732,MISSING NAME
141,789101000,MISSING NAME
142,1177796107,MISSING NAME
143,7002007781,MISSING NAME
144,7886240037761,MISSING NAME
145,7891010056211,MISSING NAME
146,8401010056211,MISSING NAME
147, Restaurant lespoir,Restaurant l'Espoir
148,: B.I.A.T,BIAT
149,04/12/2006,MISSING NAME
150,1'ASTRAGALE,Restaurant l'Astragale
151,10301.27,MISSING NAME
152,14/08/2003,MISSING NAME
153,1ASTRAGALE,Restaurant l'Astragale
154,1nd Nouri Abid,MISSING NAME
155,2 M T I,MISSING NAME
156,250 Route de Tunis,MISSING NAME
157,26-26,MISSING NAME
158,26/26,MISSING NAME
159,26/26 tataquine,MISSING NAME
160,29 A V E N U E DE L 1I N D E 8 P E N D A N C E 29 A V E N U E DE L 1I N D E 8 P E N D A N C E,MISSING NAME
161,3I,3i SARL
162,3i,3i SARL
163,3i S.A.R.L,3i SARL
164,3i www,3i SARL
165,3iS.A.R.L,3i SARL
166,3P AV FARHAT HACHED,MISSING NAME
167,49 NORTH LUBRICANTS,49 North Lubricantes
168,49 north lubricants,49 North Lubricantes
169,8 TH  Solid Resances Ltd,8 TH Solid Resources LTD
170,8 TH SOLID PROSERUE LTD,8 TH Solid Resources LTD
171,8 TH Solid Resources LTD,8 TH Solid Resources LTD
172,8th  solid Resources Ltd,8 TH Solid Resources LTD
173,8th solid Resources Ltd,8 TH Solid Resources LTD
174,8th solid resources ltd,8 TH Solid Resources LTD
175,8th SP International Engineering LTD,8 SP International Engineering LTD
176,A,A
177,A AECHICHI YOUSSEF,A Aechichi Youssef
178,a c t,A C T
179,A Customer List of NA Solid Petroserve LTD,A Customer List of NA Solid Petroserve LTD
180,A Exports,A Exports
181,A Ghadhab Abdelatif,A Ghadhab Abdelatif
182,A Hamadi B Taleb,A Hamadi B Taleb
