TransactionIndex,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,Bank Account,Bank Name,Bank Currency
0,[0],1,[],0,0,43723.842,,23,12,2010,23,12,2010,virement,,0007881060056211,TND,TND
1,[1],1,[],0,0,-1.44,,31,03,2011,01,04,2011,tva,,0007881060056211,TND,TND
2,[2],1,[],0,0,-8.0,,31,03,2011,01,04,2011,fraisdetenuedel,,0007881060056211,TND,TND
3,[3],1,[],0,0,-43714.402,,27,05,2011,27,05,2011,virement,,0007881060056211,TND,TND
4,[4],1,[],0,0,-1.44,,30,06,2011,01,07,2011,tva,,0007881060056211,TND,TND
5,[5],1,[],0,0,-8.0,,30,06,2011,01,07,2011,fraisdetenuedel,,0007881060056211,TND,TND
6,[6],1,[],0,0,-1.44,,30,09,2011,01,10,2011,tva,,0007881060056211,TND,TND
7,[7],1,[],0,0,-8.0,,30,09,2011,01,10,2011,fraisdetenuedel,,0007881060056211,TND,TND
8,[8],1,[],0,0,-1.44,,30,12,2011,01,01,2012,tva,,0007881060056211,TND,TND
9,[9],1,[],0,0,-8.0,,30,12,2011,01,01,2012,fraisdetenuedel,,0007881060056211,TND,TND
10,[10],1,[],0,0,-1.44,,30,03,2012,01,04,2012,tva,,0007881060056211,TND,TND
11,[11],1,[],0,0,-8.0,,30,03,2012,01,04,2012,fraisdetenuedel,,0007881060056211,TND,TND
12,[12],1,[],0,0,-1.44,,29,06,2012,01,07,2012,tva,,0007881060056211,TND,TND
13,[13],1,[],0,0,-8.0,,29,06,2012,01,07,2012,fraisdetenuedel,,0007881060056211,TND,TND
14,[14],1,[],0,0,-3.6,,28,09,2012,01,10,2012,tva,,0007881060056211,TND,TND
15,[15],1,[],0,0,-20.0,,28,09,2012,01,10,2012,fraisdetenuedel,,0007881060056211,TND,TND
16,[16],1,[],0,0,-0.9,,31,12,2012,01,01,2013,tva,,0007881060056211,TND,TND
17,[17],1,[],0,0,-5.0,,31,12,2012,01,01,2013,fraisdetenuedel,,0007881060056211,TND,TND
18,[18],1,[],0,0,0.0,,11,9,2007,11,9,2007,initial balance,,0007881190056211,TND Sodeps,TND
21,[21],1,[15095],1,0,-8516.413,,31,10,2007,31,10,2007,paiementcheque,2344807,0007881190056211,TND Sodeps,TND
22,[22],1,[15096],1,0,-1500.398,,31,10,2007,31,10,2007,paiementcheque,2344808,0007881190056211,TND Sodeps,TND
23,[23],1,[15093],1,0,-1048.79,,31,10,2007,31,10,2007,paiementcheque,2344805,0007881190056211,TND Sodeps,TND
24,[24],1,[15094],1,0,-300.0,,31,10,2007,31,10,2007,paiementcheque,2344806,0007881190056211,TND Sodeps,TND
25,[25],1,[15097],1,22,-3197.71,,23,11,2007,23,11,2007,paiementcheque,2344810,0007881190056211,TND Sodeps,TND
26,[26],1,[15099],1,0,-747.108,,28,11,2007,28,11,2007,paiementcheque,2344812,0007881190056211,TND Sodeps,TND
27,[27],1,[15100],1,0,-593.75,,29,11,2007,29,11,2007,paiementcheque,2344813,0007881190056211,TND Sodeps,TND
28,[28],1,[15098],1,1,-2955.3,,29,11,2007,29,11,2007,paiementcheque,2344811,0007881190056211,TND Sodeps,TND
29,[29],1,[15101],1,3,-396.4,,10,12,2007,10,12,2007,paiementcheque,2344814,0007881190056211,TND Sodeps,TND
30,[30],1,[15102],1,0,-104.166,,12,12,2007,12,12,2007,paiementcheque,2344815,0007881190056211,TND Sodeps,TND
31,[31],1,[15105],1,8,-213.5,,10,01,2008,10,01,2008,paiementcheque,2344816,0007881190056211,TND Sodeps,TND
32,[32],1,[15104],1,26,-239.885,,28,01,2008,28,01,2008,paiementcheque,2344817,0007881190056211,TND Sodeps,TND
33,[33],1,[15106],1,0,-401.0,,26,02,2008,26,02,2008,paiementcheque,2344819,0007881190056211,TND Sodeps,TND
34,[34],1,[15107],1,4,-98.5,,07,04,2008,07,04,2008,paiementcheque,2344820,0007881190056211,TND Sodeps,TND
35,[35],1,[15134],1,7,-3475.611,,12,11,2008,12,11,2008,paiementcheque,2603996,0007881190056211,TND Sodeps,TND
36,[36],1,[15136],1,0,-314.0,,21,11,2008,21,11,2008,paiementcheque,2603998,0007881190056211,TND Sodeps,TND
37,[37],1,[15139],1,2,-608.118,,27,11,2008,27,11,2008,paiementcheque,2604001,0007881190056211,TND Sodeps,TND
38,[38],1,[15138],1,2,-5250.008,,27,11,2008,27,11,2008,paiementcheque,2604000,0007881190056211,TND Sodeps,TND
39,[39],1,[15140],1,0,-2750.0,,27,11,2008,27,11,2008,paiementcheque,2604002,0007881190056211,TND Sodeps,TND
40,[40],1,[15141],1,1,-1602.0,,02,12,2008,02,12,2008,virtemiscomp,,0007881190056211,TND Sodeps,TND
41,[41],1,[15137],1,8,-1767.39,,03,12,2008,03,12,2008,paiementcheque,2603999,0007881190056211,TND Sodeps,TND
42,[42],1,[15146],1,0,161153.088,,30,12,2008,30,12,2008,virement,,0007881190056211,TND Sodeps,TND
