PacketLabel,MultipartFilenameStub,NumPackets,MaxPages,Description,From page,To page
1,scan1~2013_06_06_17_58_32,2,69,"Factures, Bons de Livraison July-August 2008",1,40
2,scan1~2013_06_06_17_58_32,2,69,Expense claim forms and associated receipts - July-August 2008,41,69
3,scan1~2013_06_12_11_18_56,1,42,Tax and accounting forms related to salary - 2009,1,42
4,scan1~2013_06_14_13_44_05,1,35,Personnel expense claims and associated recepts. Personnel time sheets - 2010,1,35
5,scan1~2013_06_13_11_31_34,1,20,Personnel expense receipts - 2003,1,20
6,scan1~2013_06_06_11_43_22,1,12,Personnel expense claims and associated cheques - 2007,1,12
7,scan1~2013_06_14_14_12_10,1,85,Expense claims and associated cheques - 2011,1,85
8,scan1~2013_06_12_17_04_59,1,27,Expense claim forms and receipts. Personnel time sheets - 2011,1,27
9,scan5~evan~2013_06_16_11_24_00,1,5,Bank transfers and tax withheld forms - October 2011,1,5
10,scan1~2013_06_21_16_22_16,1,65,Communication regarding purchasing for Tunisia - February to May 2011,1,65
11,scan1~2013_06_15_16_28_23,1,29,Invoices regarding mechanical repairs - 2009/2010,1,29
12,scan1~2013_06_12_11_59_16,1,10,Expense receipts - 2004,1,10
13,scan1~2013_06_12_11_01_34,1,46,Accounting Arabic - August 2009,1,46
14,scan5~evan~2013_06_16_17_04_11,1,29,"Hydrostatic test reports, manufacturer's conformity certificates, safety certificates - 2006",1,29
15,scan1~2013_06_15_12_05_17,1,10,Teletec invoices - February 2011,1,10
16,scan1~evan~2013_06_14_18_08_01,1,15,Tunisian Tax declaration forms - 1996,1,15
17,scan1~2013_06_12_16_49_11,1,13,Personnel time sheets - 2011,1,13
18,scan1~2013_06_12_16_34_34,1,5,Expense claim form and time sheets - September to December 2011,1,5
19,scan1~evan~2013_06_14_17_09_10,1,34,Northland Energy Services - certificate of incorporation of a private company limited - company no. 3239395,1,34
20,scan1~2013_06_16_10_55_54,1,16,Invoices and receipts regarding personnel training - 2011,1,16
21,scan1~2013_06_06_15_11_37,1,17,Expense claims forms and receipts - 2008,1,17
22,scan4~chequestubs~2013_06_17_19_01_52,1,54,Cheque stubs - 2003,1,54
23,scan1~2013_06_21_16_16_10,1,5,Cheques and related invoices - 2010,1,5
24,scan1~2013_06_14_14_03_10,1,13,Personnel time sheets - 2010,1,13
25,scan1~2013_06_09_11_13_03,1,89,Cheque stubs (undated),1,89
26,scan1~2013_06_13_10_33_46,1,120,Expense receipts - 2003,1,120
27,scan5~evan~2013_06_16_13_36_52,1,15,Hotel expense receipts - 2010,1,15
28,scan1~2013_06_09_12_28_40,1,24,Tunisian medical receipts and letters Arabic - 2010,1,24
29,scan1~2013_06_12_17_53_29,1,114,Hotel and mechanical expenses related to a project in Tunisia - November 2009 to October 2010,1,114
30,scan1~2013_06_12_09_47_19,1,62,Accounting related to salary - April 2010,1,62
31,scan1~2013_06_06_15_52_14,1,22,Expense receipts - May 2008,1,22
32,scan1~2013_06_15_17_19_47,1,7,Economic Auto invoices - February 2009,1,7
33,scan1~2013_06_06_17_46_18,1,34,Expense claim forms and receipts - July 2008,1,34
34,scan1~2013_06_06_11_38_32,1,19,Cheques and related invoices April-May 2007,1,19
35,scan1~2013_06_15_11_24_00,1,8,Issuance report Arabic - December 2011,1,8
36,scan1~2013_06_15_12_42_27,1,6,Teletec invoices - April 2009,1,6
37,scan1~2013_06_16_13_29_50,2,23,Toyota Invoices - January to April 2011,1,7
38,scan1~2013_06_16_13_29_50,2,23,Meublatex invoices - April 2011,8,23
39,scan1~2013_06_07_12_03_10,1,287,"invoices', shipping receipts, export invoices, and freight documents for Tunisian job - 2008",1,287
40,scan1~2013_06_15_12_38_29,1,5,Teletec invoices - February 2009,1,5
41,scan5~evan~2013_06_16_11_19_19,1,14,Tax certificates - 2011,1,14
42,scan2~2013_06_21_15_36_54,1,63,"Quotes, purchase orders, invoices and customs certificates relating to export/import of goods - 2011/12 ",1,63
43,scan1~2013_06_13_16_13_39,1,58,Expense claim forms and receipts - 2003,1,58
44,scan1~2013_06_16_11_48_50,1,13,Education certificates ,1,13
45,scan1~2013_06_08_10_29_21,1,59,Accounting relating to salary and related pay slips Arabic - March 2007 ,1,59
46,scan1~evan~2013_06_14_17_02_01,1,195,Legal documents regarding the establishment of the company in Tunisia 2000-03. Certificate of Incorporation on change of name to 'Precision Drilling Services' (Company no. 3239395) Arabic - January 2002,1,195
47,scan1~2013_06_09_18_32_18,1,56,Reconciliation of internal records with bank statements - 2005,1,56
48,scan1~2013_06_09_12_42_10,1,69,Accounting regarding salaries and deductions Arabic - 2010,1,69
49,scan1~2013_06_11_14_53_45,2,91,"Documents regarding the identification, use and maintenance of transport vehicles - 2003. ",1,30
50,scan1~2013_06_11_14_53_45,2,91,Price lists and invoices regarding window door installations - 1997 ,31,91
51,scan5~evan~2013_06_16_13_32_50,1,10,Hotel expense receipts - June 2010,1,10
52,scan1~2013_06_15_16_21_00,1,13,Automatic Auto - order forms and invoices May 2010,1,13
53,scan4~chequestubs~2013_06_17_18_18_11,1,42,Cheque stubs - 2004,1,42
54,scan5~evan~2013_06_16_12_36_24,1,5,Certificat de retenue d'import sur le revenu ou d'import sur les societes - July 2009,1,5
55,scan1~2013_06_12_12_50_15,1,6,Invoices Arabic - April 2004,1,6
56,scan5~evan~2013_06_16_11_37_44,1,14,Documents relating to goods order - 2012,1,14
57,scan2~2013_06_21_16_30_35,1,28,Documents relating to goods orders - January to March 2012,1,28
58,scan2~2013_06_21_16_36_14,1,14,Documents relating to goods orders - 2012,1,14
59,scan1~2013_06_06_17_31_36,1,13,Expense claim forms - June/July 2008,1,13
60,scan1~2013_06_15_12_29_38,1,61,Teletec invoices and receipts - June 2010,1,61
61,scan1~2013_06_15_17_04_56,1,27,Economic Auto invoices - June/July 2009,1,27
62,scan5~evan~2013_06_16_12_44_14,1,6,Certificat de retenue d'import sur le revenu ou d'import sur les societes - April & June 2010. Wire transfer - August 2010,1,6
63,scan5~evan~2013_06_16_12_14_36,1,7,Bank transfers - Arabic - September 2011,1,7
64,scan1~2013_06_20_19_55_19,1,241,"Shipping Invoices and packing list, export and custom forms Jan - Nov 2012",1,241
65,scan1~2013_06_15_12_22_35,1,49,Teletec invoices and receipts - September 2010,1,49
66,scan1~2013_06_21_16_15_03,1,13,Equipment bills of sale Tunisia - September 2011,1,13
67,scan1~2013_06_14_13_20_09,1,33,"Expense claim forms and receipts, personnel time sheets - 2010",1,33
68,scan1~2013_06_12_14_11_52,1,40,Personnel expense receipts - 2004,1,40
69,scan1~2013_06_06_11_20_37,1,8,Accounting documents - May 2007,1,8
70,scan1~2013_06_12_13_19_50,1,5,Expense claim forms - date illegible,1,5
71,scan1~2013_06_12_10_47_08,1,38,Accounting relating to salary - October 2009,1,38
72,scan1~2013_06_13_11_14_07,1,36,Expense receipts - 2003,1,36
73,scan5~evan~chequestubs~2013_06_17_17_10_06,1,74,Cheque stubs - October 2010,1,74
74,scan1~2013_06_06_17_18_10,1,50,Expense claim forms and associates receipts - May to July 2008,1,50
75,scan1~2013_06_08_09_19_56,1,181,Invoices and hotel expenses relating to project in Tunisia - October/November 2008,1,181
76,scan1~evan~cheques~2013_06_17_14_36_38,1,54,Cheque stubs - November 2010,1,54
77,scan1~2013_06_13_16_10_43,1,23,Expense invoices - May 2003,1,23
78,scan1~2013_06_06_11_33_44,1,16,Accounting relating salaries and deductions for hotel expenses - May/June 2007,1,16
79,scan1~2013_06_15_17_02_36,1,5,Accounting documents relating to Economic Auto - April 2009,1,5
80,scan4~chequestubs~2013_06_17_17_31_14,1,55,Cheque stubs - December 2002,1,55
81,scan1~2013_06_21_16_39_38,1,228,Communication regarding purchasing - 2011,1,228
82,scan1~2013_06_08_16_06_16,1,42,Hotel and purchasing expense receipts - November/December 2007,1,42
83,scan1~2013_06_13_11_30_59,1,37,Fuel receipts - 2003,1,37
84,scan1~2013_06_12_15_55_22,1,23,Expense receipts - 2004,1,23
85,scan1~2013_06_12_09_42_35,1,27,Accounting documents regarding salary Arabic - July 2010,1,27
86,scan1~2013_06_06_16_47_26,1,10,Economic Auto Invoices - March/April 2010,1,10
87,scan1~2013_06_12_12_47_22,1,4,Restaurant expense receipts and invoices - April 2004,1,4
88,scan1~2013_06_15_16_06_23,1,11,Economic Auto Invoices - March/April 2010,1,11
89,scan1~2013_06_15_13_15_55,2,13,Economic Auto Invoices - August 2011,1,6
90,scan1~2013_06_15_13_15_55,2,13,Economic Auto Invoices - November,7,13
91,scan5~evan~2013_06_16_10_52_21,1,11,Poly Aluminium orders and invoices - 2011,1,11
92,scan5~evan~2013_06_15_19_10_06,1,139,"Invoices, purchasing and freight to Tunisia - 2006",1,139
93,scan1~2013_06_16_11_38_41,1,20,Documents relating to the exchange of students in Tunisia for Technical experience - 2008,1,20
94,scan5~evan~2013_06_16_11_24_26,1,3,Accounting summaries for Thyna Petroleum Services - 2011,1,3
95,scan5~evan~2013_06_16_13_08_36,1,10,Hotel expenses and receipts - July 2007,1,10
96,scan5~evan~chequestubs~2013_06_17_17_47_19,1,54,Cheque stubs - November 2002,1,54
97,scan1~2013_06_16_17_35_58,1,4,Bill of Landing documents - July 2007,1,4
98,scan5~evan~2013_06_16_11_03_34,1,8,Documents relating to National S. Company purchasing - December 2007,1,8
99,scan1~2013_06_13_13_09_03,1,7,Payment orders and cheques - January 2003,1,7
100,scan1~2013_06_12_17_00_04,1,49,"Expense claim forms and associated  receipts, Personnel time sheets - 2011",1,49
101,scan1~2013_06_15_17_36_36,1,29,Economic Auto invoices - 2008,1,29
102,scan1~evan~2013_06_14_17_22_19,1,27,Agrement du regime fiscal privilegie relatif aux activites de recherche et ou dexploitation dhydrocarbures,1,27
103,scan4~chequestubs~2013_06_17_18_05_08,1,155,Cheque stubs - September/Octover 2004. Cheque stubs - September 2003,1,155
104,scan1~2013_06_12_13_08_10,1,19,Expense receipts - 2004,1,19
105,scan5~evan~2013_06_16_16_58_00,1,88,"Communications and invoices regarding orders, shipping and receival of gods - 2007",1,88
106,scan4~chequestubs~2013_06_17_18_45_40,1,55,Cheque stubs - June 2003,1,55
107,scan5~evan~2013_06_16_12_56_59,1,8,Hotel expense receipts - November 2011,1,8
108,scan1~2013_06_16_11_29_03,1,5,Salary summaries 2005,1,5
