Transaction References;String If No Exception;String If Exception;Include List Of Related Docs after string?;Conditional Rule?
blocprovcouvertl;;;Yes;Yes
certifcheque;;;Yes;Yes
cloturecompensat;;;Yes;Yes
commission;;;Yes;Yes
encaissement;;;Yes;Yes
foreigncurrency;;;Yes;Yes
frais;;;Yes;Yes
fraisdetenuedel;;;Yes;Yes
misealadisposil;;;Yes;Yes
outwardcheque;;;Yes;Yes
paiement;;;Yes;Yes
paiementcheque;Transaction (0): Cheque  From (1), a cheque for (2) was transferred to (3).;Transaction (0): Cheque  From (1), a cheque for (2) was transferred. The beneficiary was not recorded in our data.;Yes;Company
paiementeffet;;;Yes;Yes
paiementpreavis;Transaction (0): Pre-authorised Payment  From (1), a pre-authorised payment for (2) was transferred to (3).;Transaction (0): Pre-authorised Payment  From (1), a pre-authorised payment for (2) was transferred. The beneficiary was not recorded in our data.;Yes;Company
retraitespeces;;;Yes;Yes
transfercredit;;;Yes;Yes
tva;;;Yes;Yes
virement;Transaction (0): Wire Transfer  From (1), a payment for (2) was transferred to (3).;Transaction (0): Wire Transfer  From (1), a payment for (2) was transferred. The beneficiary was not recorded in our data.;Yes;Company
virementrecu;Transaction (0): Wire Transfer Received  From (1), a payment for (2) was received from (3).;Transaction (0): Wire Transfer Received  From (1), a payment for (2) was received. The sender was not recorded in our data.;Yes;Company
virtemiscomp;;;Yes;Yes
INITIALBALANCE;;;No;No
ALBANNPAIR;Transaction (0): Paired Anomalous Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A pair of cancelling payments for (2), from (1).;Transaction (0): Paired Anomalous Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A pair of cancelling payments for (2), from (1).;Yes;Yes
ALBANNSEQ;Transaction (0): Anomalouse Series of Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A sequence of cancelling payments for (2), from (1).;Transaction (0): Anomalouse Series of Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A sequence of cancelling payments for (2), from (1).;Yes;Yes
GLANNPAIR;Transaction (0): Anomalouse Series of Entries in Grande Livre Globale Not Reflected In Albaraka Bank Statements  A pair of cancelling payments for (2), from (1).;Transaction (0): Anomalouse Series of Entries in Grande Livre Globale Not Reflected In Albaraka Bank Statements  A pair of cancelling payments for (2), from (1).;Yes;Yes
