DocType Name,Total Number Docs,Total Assigned,Total Assigned FlatWorld,Total Done,Total Not Done,Total Assigned Enersect_Berlin,Total Assigned NathanTeam
blank,40377,40178,43,197,40180,77,0
service order,4575,4117,447,458,4117,12,0
other,3731,3273,21,458,3273,452,0
contractual,5348,2914,1205,2434,2914,1512,0
backwards,2445,2270,80,175,2270,96,0
time sheet,2121,1969,82,152,1969,80,0
customs form,1098,897,78,201,897,130,0
accounting,1603,493,376,1110,493,789,0
bon de transport,240,230,4,10,230,6,0
bon de reception,75,50,22,25,50,3,0
fiche d'intervention,45,41,3,4,41,1,0
delivery ticket,107,35,5,72,35,67,0
fuel authorization form,90,35,8,55,35,47,0
call off order,98,23,69,75,23,6,0
bon de sortie,19,18,1,1,18,0,0
note d'expedition materiel,30,16,5,14,16,9,0
bon de pesage,12,11,0,1,11,1,0
contract page x,145,10,117,135,10,18,0
appel d'offres,50,9,41,41,9,0,0
bon de prestation,9,4,5,5,4,0,0
certificat de visite,16,3,8,13,3,5,0
avis de passage,1,1,0,0,1,0,0
list of expenses,5,1,4,4,1,0,0
note de remboursement,2,1,1,1,1,0,0
NoDocTypeField,0,0,0,0,0,0,0
air waybill,723,0,657,723,0,144,0
arabic,3585,0,219,3585,0,3373,0
autorisation de sortie,20,0,7,20,0,20,0
avis de credit,146,0,145,146,0,2,0
avis de debit,931,0,930,931,0,2,0
back of invoice,1253,0,327,1253,0,1191,0
bank statement,1689,0,1688,1689,0,41,0
blank probable,0,0,0,0,0,0,0
bon a payer,0,0,0,0,0,0,0
bon d'insertion,1,0,1,1,0,0,0
bon de commande,2791,0,2791,2791,0,1,0
bon de garantie,1,0,1,1,0,0,0
bon de livraison,4359,0,4358,4359,0,17,0
bon de location,26,0,9,26,0,26,0
bon pour,4,0,1,4,0,4,0
borderaux de reglements,8,0,3,8,0,5,0
bordereau de depot,24,0,2,24,0,24,23
bulletin de paie,1944,0,1944,1944,0,5,0
catering,108,0,0,108,0,108,0
certificat de passage,79,0,68,79,0,15,0
certificat de retenue d'impots,0,0,0,0,0,0,0
certificate of conformity,15,0,14,15,0,1,0
certificate of origin,27,0,25,27,0,4,0
cheque,16900,0,16887,16900,0,557,0
cheque receipt,17,0,7,17,0,17,0
cheque stub,2770,0,2743,2770,0,30,0
confirmation of booking,4,0,3,4,0,1,0
contract page 1,0,0,0,0,0,0,0
contrat de location,33,0,27,33,0,33,0
course documents,194,0,37,194,0,194,0
credit note,348,0,338,348,0,13,0
curriculum vitae,71,0,9,71,0,71,0
custom generic template,58,0,7,58,0,58,3
customs entry advice,5,0,2,5,0,4,0
daily report,27,0,27,27,0,27,0
declaration de versement,3,0,3,3,0,3,0
demande de credit,117,0,15,117,0,117,0
email,2854,0,2776,2854,0,233,0
eni tunisia,764,0,764,764,0,6,0
enquiry,11,0,1,11,0,11,0
etat de rapprochement,21,0,15,21,0,21,0
etat recaputilatif salaire,58,0,57,58,0,58,0
expense claim,1654,0,1552,1654,0,1654,0
export declaration,38,0,0,38,0,38,0
extrait du compte,8,0,4,8,0,4,0
fax,783,0,775,783,0,95,0
funds transfer,233,0,233,233,0,8,0
grande livre,3941,0,3442,3941,0,536,0
handwritten note,721,0,6,721,0,721,0
hotel related,4093,0,4226,4093,0,69,0
insurance,85,0,14,85,0,85,0
invoice,52405,0,52386,52405,0,75,0
journal de paie,1277,0,1274,1277,0,6,0
letter,393,0,391,393,0,42,0
list of invoices,56,0,56,56,0,1,0
mandat minute,42,0,38,42,0,4,0
misc,769,0,66,769,0,769,0
money order,1,0,1,1,0,1,0
movement en cours,0,0,0,0,0,0,0
no_type,1724,0,1724,1724,0,0,0
nodoctypefield,1,0,0,1,0,1,0
notes d'honoraires,234,0,15,234,0,234,0
ordre d'insertion,2,0,2,2,0,1,0
packing list,359,0,12,359,0,359,0
packing slip,327,0,77,327,0,251,0
partial,152,0,66,152,0,86,0
payment confirmation,364,0,17,364,0,347,0
payment order,3112,0,3108,3112,0,5,0
phone records,476,0,420,476,0,58,0
preavis d'arrivee,23,0,11,23,0,12,0
product info,339,0,38,339,0,339,0
purchase order,1179,0,1099,1179,0,82,0
quittance,1844,0,1837,1844,0,10,0
quotation,49,0,48,49,0,1,0
quote,1195,0,1008,1195,0,193,0
receipt,5774,0,5550,5774,0,307,3
reconnaissance,0,0,0,0,0,0,0
releve de compte,26,0,23,26,0,3,0
remise de cheques,0,0,0,0,0,0,0
rent ticket,8,0,0,8,0,8,0
requisition for electronic payment transfer,9,0,9,9,0,0,0
sales order,15,0,10,15,0,5,0
service ticket,46,0,5,46,0,46,0
shipping documents,285,0,6,285,0,285,0
shipping invoice,117,0,90,117,0,29,0
tax form,2206,0,2206,2206,0,326,0
teletec,1327,0,29,1327,0,1327,0
testing log,992,0,184,992,0,992,0
travel documents,201,0,9,201,0,201,0
uncategorized,0,0,0,0,0,0,0
vehicle registration certificate,8,0,5,8,0,8,0
virement,1381,0,1368,1381,0,13,0
voucher,31,0,1,31,0,31,0
