OcrRecordIndex,TransactionIndex,NumTransactionIndices,Document_Type,Amount,Company,Day,Month,Year,Document_Number,PurchaseOrder_Number,Cheque_Number
86,[11512],1,Cheque Stub,MISSING,Divona Telecom,6,2,2010,3108779,NoPurchaseOrderNumberField,NoChequeNumberField
87,[11471],1,Cheque Stub,80000,Ambassadeurs Hotel,NaN,NaN,NaN,3108786,NoPurchaseOrderNumberField,NoChequeNumberField
88,[11500],1,Cheque Stub,90000,UNREADABLE NAME,NaN,NaN,NaN,3108787,NoPurchaseOrderNumberField,NoChequeNumberField
90,[11164],1,Cheque Stub,MISSING,Air Liquide Tunisie Services,NaN,NaN,NaN,3066321,NoPurchaseOrderNumberField,NoChequeNumberField
91,[11128],1,Cheque Stub,940451,Express Engineering Services,7,12,2009,3066320,NoPurchaseOrderNumberField,NoChequeNumberField
92,[11117],1,Cheque Stub,332733,Tecsmoj Let,7,12,2009,3066317,NoPurchaseOrderNumberField,NoChequeNumberField
93,[10912],1,Cheque Stub,72800,Sandsad Rest,8,11,2009,3066311,NoPurchaseOrderNumberField,NoChequeNumberField
94,[10928],1,Cheque Stub,220000,Chamsi Jalah,5,11,2009,3066312,NoPurchaseOrderNumberField,NoChequeNumberField
95,[11122],1,Cheque Stub,1138878,Bureau Plus,7,12,2009,3066316,NoPurchaseOrderNumberField,NoChequeNumberField
96,[11306],1,Cheque Stub,881575,BECT,7,12,2009,3066314,NoPurchaseOrderNumberField,NoChequeNumberField
114,[11660],1,Cheque Stub,680300,Tumi Pack,24,2,2010,3108975,NoPurchaseOrderNumberField,NoChequeNumberField
115,[11686],1,Cheque Stub,272880,ETS Ben Romdhane,24,2,2010,3108982,NoPurchaseOrderNumberField,NoChequeNumberField
116,[11687],1,Cheque Stub,MISSING,UNREADABLE NAME,24,2,2010,3108984,NoPurchaseOrderNumberField,NoChequeNumberField
117,[11839],1,Cheque Stub,591300,Air Liquide Tunisie Services,24,2,2010,3108977,NoPurchaseOrderNumberField,NoChequeNumberField
118,[11504],1,Cheque Stub,500000,Sayahi Hazma,NaN,NaN,NaN,3108941,NoPurchaseOrderNumberField,NoChequeNumberField
119,[11488],1,Cheque Stub,UNREADABLE,Salaires,11,2,2010,3108942,NoPurchaseOrderNumberField,NoChequeNumberField
120,[11659],1,Cheque Stub,90800,Comptoir el Amen,24,2,2010,3108979,NoPurchaseOrderNumberField,NoChequeNumberField
121,[11565],1,Cheque Stub,404712,Manprotect SARL,24,2,2010,3108980,NoPurchaseOrderNumberField,NoChequeNumberField
122,[11682],1,Cheque Stub,5313126,Speed Commerce and Distribution,19,2,2010,3108956,NoPurchaseOrderNumberField,NoChequeNumberField
123,[11514],1,Cheque Stub,6000000,Kaleem Dath Molz,22,2,2010,3108959,NoPurchaseOrderNumberField,NoChequeNumberField
124,[11513],1,Cheque Stub,1000,Ouance,22,2,2010,3108961,NoPurchaseOrderNumberField,NoChequeNumberField
125,[11699],1,Cheque Stub,600000,Legal Kunij,24,8,2010,3108962,NoPurchaseOrderNumberField,NoChequeNumberField
