No. Instances?,Transaction References,,Online Bank Statement Description,What this means,,String to insert data into
,(0) Transaction numbers,,,,,
,(1) Date,,,,,
,(2) Amount {Currency},,,,,
,(3) Beneficiary (ideally linked from the AlbarakaSource),,,,,
,,,,,,
,blocprovcouvertl,,Provision Margin Dr; Provision Margin Cr,,,?????????????????????
,certifcheque,,Certification du ch,,,?????????????????????
,cloturecompensat,,Cloture Compensatio,,,
,commission,,Commission,,,
,encaissement,,Payment Of Cheque,,,
,foreigncurrency,,,,,
,frais,,Fees,,,
,fraisdetenuedel,,Frais de Tenue de C; Frais tenue de cpte,,,
,misealadisposil,,,,,
,outwardcheque,,Outward Cheque - Dr,,,
,paiement,,Outward Payment,,,
,paiementcheque,,Paiement cheque; PAIEMENT CHQ; Paiement Of Inward; Transfer,Cheque payment,,"Transaction (0): Cheque  From (1), a cheque for (2) was transferred (if company: to (3)/else the beneficiary was not recorded in our data. <List All Reference Numbers>"
,paiementeffet,,EFFET A PAYER,,,
,paiementpreavis,,Paiement of Preavis,,,"Transaction (0): Pre-authorised Payment  From (1), a pre-authorised payment for (2) was transferred (if company: to (3)/else the beneficiary was not recorded in our data.  <List All Reference Numbers>"
,retraitespeces,,Retrait Especes,,,
,transfercredit,,Transfer Credit,,,
,tva,,Tax Amount Due,Tax Amount Due,,
,virement,,Transfer; Outward Loc Clearin,,,"Transaction (0): Wire Transfer  From (1), a payment for (2) was transferred (if company: to (3)/else the beneficiary was not recorded in our data.  <List All Reference Numbers>"
,virement,,,,,"Transaction (0): Wire Transfer  From (1), a payment for (2) was transferred (if company: to (3)/else the beneficiary was not recorded in our data.  <List All Reference Numbers>"
,virementrecu,,Inward Prelevement; Inward Telex Paymen,,,"Transaction (0): Wire Transfer Received  From (1), a payment for (2) was received from (if company: to (3)/else the sender was not recorded in our data.  <List All Reference Numbers>"
,virtemiscomp,,Transfer; Outward Loc Clearin,,,
,,,,,,
,INITIALBALANCE,,,Artificial transaction type to set initial balance,,<<IGNORE>>
,ALBANNPAIR,,,Annihilating pair of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,"Transaction (0): Paired Anomalous Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A pair of cancelling payments for (2), from (1).  <List All Reference Numbers>"
,ALBANNSEQ,,,Annihilating sequence (3+) of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,"Transaction (0): Anomalouse Series of Entries in Albaraka Bank Statements Not Reflected In Grande Livre Globale  A sequence of cancelling payments for (2), from (1).  <List All Reference Numbers>"
,GLANNPAIR,,,Annihilating triplet of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,"Transaction (0): Anomalouse Series of Entries in Grande Livre Globale Not Reflected In Albaraka Bank Statements  A pair of cancelling payments for (2), from (1).  <List All Reference Numbers>"
,GLCANCELLEDCHEQUES,,,Paired 'tva' and 'fraisdetenuedel' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,"Transaction (0): Series of entries for cancelled cheques Grande Livre Globale Not Reflected In Albaraka Bank Statements  A pair of cancelling payments for (2), from (1).  <List All Reference Numbers>"
,BANKCHARGE1,,,Paired 'tva' and 'commission' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,"Transaction (0): Bank Charge Bank Charge for (2), from (1).  <List All Reference Numbers>"
,BANKCHARGE2,,,Paired 'commission' and 'commission' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,"Transaction (0): Bank Charge Bank Charge for (2), from (1).  <List All Reference Numbers>"
