No. Instances?,Transaction References,,Online Bank Statement Description,What this means,,,,,,,,Formatted sentenced
,,,,,,,,,,,,
,blocprovcouvertl,,Provision Margin Dr; Provision Margin Cr,,,,,,,,,
,certifcheque,,Certification du ch,,,,,,,,,
,cloturecompensat,,Cloture Compensatio,,,,,,,,,
,commission,,Commission,,,,,,,,,
,encaissement,,Payment Of Cheque,,,,,,,,,
,foreigncurrency,,,,,,,,,,,
,frais,,Fees,,,,,,,,,
,fraisdetenuedel,,Frais de Tenue de C; Frais tenue de cpte,,,,,,,,,
,misealadisposil,,,,,,,,,,,
,outwardcheque,,Outward Cheque - Dr,,,,,,,,,
,paiement,,Outward Payment,,,,,,,,,
,paiementcheque,,Paiement cheque; PAIEMENT CHQ; Paiement Of Inward; Transfer,Cheque payment,,,,,,,,
,paiementeffet,,EFFET A PAYER,,,,,,,,,
,paiementpreavis,,Paiement of Preavis,,,,,,,,,
,retraitespeces,,Retrait Especes,,,,,,,,,
,transfercredit,,Transfer Credit,,,,,,,,,
,tva,,Tax Amount Due,Tax Amount Due,,,,,,,,
,virement,,Transfer; Outward Loc Clearin,,,,,,,,,
,virement,,,,,,,,,,,
,virementrecu,,Inward Prelevement; Inward Telex Paymen,,,,,,,,,
,virtemiscomp,,Transfer; Outward Loc Clearin,,,,,,,,,
,,,,,,,,,,,,
,initial balance,,,Artificial transaction type to set initial balance,,,,,,,,
,ANNPAIR,,,Annihilating pair of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,,,,,,,
,ANNSEQ,,,Annihilating sequence (3+) of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,,,,,,,
,ANNTRIPLET,,,Annihilating triplet of Albaraka Bank Statement Entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,,,,,,,
,Bank Charge 1,,,Paired 'tva' and 'fraisdetenuedel' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,Bank Charge 2,,,Paired 'tva' and 'commission' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,Bank Charge 3,,,Paired 'commission' and 'commission' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,Bank Charge 4,,,Paired 'commission' and 'foreigncurrency' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,Bank Charge 5,,,Paired 'commission' and 'tva' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,Bank Charge 6,,,Paired 'commission' and 'virement' Albaraka Bank Statement Entries that match a single entry in the Grande Livre Globale,,,,,,,,
,CLUSTERFUCK1:20739.452,,,Initial Two Albaraka Bank Statements Entries for SODEPS account amalgamate to match single Grande Livre Globale entry,,,,,,,,
,CLUSTERFUCK2:12520.03,,,Initial Albaraka Bank Statements Entry for MARETAP account has no match in Grande Livre Globale,,,,,,,,
,CLUSTERFUCK3:2047.728,,,Initial Albaraka Bank Statements Entry for CTKCP account has no match in Grande Livre Globale,,,,,,,,
,CLUSTERFUCK4:7806.859,,,Initial Albaraka Bank Statements Entry for ENI account has no match in Grande Livre Globale,,,,,,,,
,CLUSTERFUCK5:46526.873,,,Initial Albaraka Bank Statements Entry for TPS account has no match in Grande Livre Globale,,,,,,,,
,CONSOLIDATEDTRANSFERS,,,"A set of 'virement', 'virtemiscomp', 'virementrecu', 'retraitespeces', 'paiement', 'outwardcheque' Albaraka Bank Statement entries occurring within three days of eachother which amalgamate to match a single Grande Livre Globale entry",,,,,,,,
,DATASETEDGE,,,Lack of match due to entry being at edge of overlap of Albaraka Bank Statement and Grande Livre Globale datasets,,,,,,,,
,GLANNPAIR,,,Annihilating pair of Grande Livre Globale entries - i.e. +125.37 and -125.37 usually separated by less than 2 weeks which have no matching entries in the Grande Livre Globale,,,,,,,,
,GLCANCELLEDCHEQUES,,,Set of entries reflecting cancelled/erroneous cheques in Grande Livre Globale that have no match in the Albaraka Bank Statement dataset,,,,,,,,
,MANUALVIRTEMISCOMP,,,"A manually selected set of 'virement', 'virtemiscomp', 'virementrecu', 'retraitespeces', 'paiement', 'outwardcheque' Albaraka Bank Statement entries occurring within three days of eachother which amalgamate to match to the amalgamation of multiple Grande Livre Globale entries",,,,,,,,
,MANUALVIRTEMISCOMP - DISCREP!,,,"A manually selected set of 'virement', 'virtemiscomp', 'virementrecu', 'retraitespeces', 'paiement', 'outwardcheque' Albaraka Bank Statement entries occurring within three days of eachother which amalgamate to VERY NEARLY match to the amalgamation of multiple Grande Livre Globale entries",,,,,,,,
,MISSINGBANKCHARGE:-8.26,,,A bank charge in the Albaraka Bank Statement dataset which has no match in the Grande Livre Globale dataset,,,,,,,,
,NONMATCHINGNUMBER1,,,Matched transaction with a 6 dinar discrepancy in amounts,,,,,,,,
,NONMATCHINGNUMBER2,,,Matched transaction with a 0.01 dinar discrepancy in amounts,,,,,,,,
,SIVPAMALGAM,,,Initial Five Albaraka Bank Statements Entries for SIVP account amalgamate to match single Grande Livre Globale entry,,,,,,,,
,SLOWCHEQUE1,,,Lack of match due to entry being at edge of overlap of Albaraka Bank Statement and Grande Livre Globale datasets,,,,,,,,
,SLOWCHEQUE2,,,Lack of match due to entry being at edge of overlap of Albaraka Bank Statement and Grande Livre Globale datasets,,,,,,,,
,WEIRDBANKCHARGE,,,"Matched transaction with a discrepancy in the sign of the amount (Albaraka Bank Statement +59 dinars, Grande Livre Globale -59 dinars)",,,,,,,,
