Transaction References;String If No Exception;String If Exception;Include List Of Related Docs after string?;Conditional Rule?
blocprovcouvertl;;;Yes;No
certifcheque;;;Yes;No
cloturecompensat;;;Yes;No
commission;;;Yes;No
encaissement;;;Yes;No
foreigncurrency;;;Yes;No
frais;;;Yes;No
fraisdetenuedel;;;Yes;No
misealadisposil;;;Yes;No
outwardcheque;;;Yes;No
paiement;;;Yes;No
paiementcheque;Transaction (0): Cheque(JUMP)-From (1), a cheque for (2) was transferred to (3).;Transaction (0): Cheque(JUMP)-From (1), a cheque for (2) was transferred.(JUMP)-The beneficiary was not recorded in our data.;Yes;Company
paiementeffet;;;Yes;No
paiementpreavis;Transaction (0): Pre-authorised Payment(JUMP)-From (1), a pre-authorised payment for (2) was transferred to (3).;Transaction (0): Pre-authorised Payment(JUMP)-From (1), a pre-authorised payment for (2) was transferred.(JUMP)-The beneficiary was not recorded in our data.;Yes;Company
retraitespeces;;;Yes;No
transfercredit;;;Yes;No
tva;;;Yes;No
virement;Transaction (0): Wire Transfer(JUMP)-From (1), a payment for (2) was transferred to (3).;Transaction (0): Wire Transfer(JUMP)-From (1), a payment for (2) was transferred.(JUMP)-The beneficiary was not recorded in our data.;Yes;Company
virementrecu;Transaction (0): Wire Transfer Received(JUMP)-From (1), a payment for (2) was received from (3).;Transaction (0): Wire Transfer Received(JUMP)-From (1), a payment for (2) was received.(JUMP)-The sender was not recorded in our data.;Yes;Company
virtemiscomp;;;Yes;No
INITIALBALANCE;;;No;No
ALBANNPAIR;Transaction (0): Paired Anomalous Entries in Albaraka Bank Statements(JUMP)-Not Reflected In Grande Livre Globale(JUMP)-A pair of cancelling payments for (2), from (1).;Transaction (0): Paired Anomalous Entries in Albaraka Bank Statements(JUMP)-Not Reflected In Grande Livre Globale(JUMP)-A pair of cancelling payments for (2), from (1).;Yes;Yes
ALBANNSEQ;Transaction (0): Anomalouse Series of Entries in Albaraka Bank Statements(JUMP)-Not Reflected In Grande Livre Globale(JUMP)-A sequence of cancelling payments for (2), from (1).;Transaction (0): Anomalouse Series of Entries in Albaraka Bank Statements(JUMP)-Not Reflected In Grande Livre Globale(JUMP)-A sequence of cancelling payments for (2), from (1).;Yes;Yes
GLANNPAIR;Transaction (0): Anomalouse Series of Entries in Grande Livre Globale(JUMP)-Not Reflected In Albaraka Bank Statements(JUMP)-A pair of cancelling payments for (2), from (1).;Transaction (0): Anomalouse Series of Entries in Grande Livre Globale(JUMP)-Not Reflected In Albaraka Bank Statements(JUMP)-A pair of cancelling payments for (2), from (1).;Yes;Yes
GLCANCELLEDCHEQUES;Transaction (0): Series of entries for cancelled cheques Grande Livre Globale(JUMP)-Not Reflected In Albaraka Bank Statements(JUMP)-A pair of cancelling payments for (2), from (1). ;Transaction (0): Series of entries for cancelled cheques Grande Livre Globale(JUMP)-Not Reflected In Albaraka Bank Statements(JUMP)-A pair of cancelling payments for (2), from (1). ;Yes;Yes
BANKCHARGE1;Transaction (0): Bank Charge(JUMP)-Bank Charge for (2), from (1).;Transaction (0): Bank Charge(JUMP)-Bank Charge for (2), from (1).;Yes;Yes
