TransactionIndex,IcrRecordIndex,NumIcrRecordIndices,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,Bank Account,Bank Name,Bank Currency,GL Memo,GL Company
0,,,[0],1,[],0,0,43723842,,23,12,2010,23,12,2010,virement,,7881060056211,TND,TND,,
1,,,[1],1,[],0,0,-1.44,,31,3,2011,1,4,2011,tva,,7881060056211,TND,TND,,
2,,,[2],1,[],0,0,-8.0,,31,3,2011,1,4,2011,fraisdetenuedel,,7881060056211,TND,TND,,
3,,,[3],1,[],0,0,-43714402,,27,5,2011,27,5,2011,virement,,7881060056211,TND,TND,,
4,,,[4],1,[],0,0,-1.44,,30,6,2011,1,7,2011,tva,,7881060056211,TND,TND,,
5,,,[5],1,[],0,0,-8.0,,30,6,2011,1,7,2011,fraisdetenuedel,,7881060056211,TND,TND,,
6,,,[6],1,[],0,0,-1.44,,30,9,2011,1,10,2011,tva,,7881060056211,TND,TND,,
7,,,[7],1,[],0,0,-8.0,,30,9,2011,1,10,2011,fraisdetenuedel,,7881060056211,TND,TND,,
8,,,[8],1,[],0,0,-1.44,,30,12,2011,1,1,2012,tva,,7881060056211,TND,TND,,
9,,,[9],1,[],0,0,-8.0,,30,12,2011,1,1,2012,fraisdetenuedel,,7881060056211,TND,TND,,
10,,,[10],1,[],0,0,-1.44,,30,3,2012,1,4,2012,tva,,7881060056211,TND,TND,,
11,,,[11],1,[],0,0,-8.0,,30,3,2012,1,4,2012,fraisdetenuedel,,7881060056211,TND,TND,,
12,,,[12],1,[],0,0,-1.44,,29,6,2012,1,7,2012,tva,,7881060056211,TND,TND,,
13,,,[13],1,[],0,0,-8.0,,29,6,2012,1,7,2012,fraisdetenuedel,,7881060056211,TND,TND,,
14,,,[14],1,[],0,0,-3.6,,28,9,2012,1,10,2012,tva,,7881060056211,TND,TND,,
15,,,[15],1,[],0,0,-20.0,,28,9,2012,1,10,2012,fraisdetenuedel,,7881060056211,TND,TND,,
16,,,[16],1,[],0,0,-0.9,,31,12,2012,1,1,2013,tva,,7881060056211,TND,TND,,
17,,,[17],1,[],0,0,-5.0,,31,12,2012,1,1,2013,fraisdetenuedel,,7881060056211,TND,TND,,
18,,,[18],1,[],0,0,0.0,,11,9,2007,11,9,2007,INITIALBALANCE,,7881190056211,TND Sodeps,TND,,
21,"[48379, 74593, 93745, 112089]",4,[21],1,[14992],1,0,-8516413,,31,10,2007,31,10,2007,paiementcheque,2344807,7881190056211,TND Sodeps,TND,c 2344807 rgt/f.fenina,best tnd sodeps
22,"[52859, 57101, 58448, 89126, 94895, 103557]",6,[22],1,[14993],1,0,-1500398,,31,10,2007,31,10,2007,paiementcheque,2344808,7881190056211,TND Sodeps,TND,c 2344808 rgt/f.tech-art,best tnd sodeps
23,"[34383, 52286, 57511, 88250, 94538, 101775]",6,[23],1,[14990],1,0,-1048.79,,31,10,2007,31,10,2007,paiementcheque,2344805,7881190056211,TND Sodeps,TND,c 2344805 rgt/f.restauran,best tnd sodeps
24,"[74893, 94310, 104847, 106333, 129378, 129391]",6,[24],1,[14991],1,0,-300.0,,31,10,2007,31,10,2007,paiementcheque,2344806,7881190056211,TND Sodeps,TND,c 2344806 droit enrigst.,best tnd sodeps
25,[68125],1,[25],1,[14994],1,22,-3197.71,,23,11,2007,23,11,2007,paiementcheque,2344810,7881190056211,TND Sodeps,TND,c 2344810 rgt/f.sheraton,best tnd sodeps
26,"[46810, 82968, 97159]",3,[26],1,[14996],1,0,-747108,,28,11,2007,28,11,2007,paiementcheque,2344812,7881190056211,TND Sodeps,TND,c 2344812 rgt/exp.anwar,best tnd sodeps
27,"[53528, 72005, 73287, 84593, 86496, 88074]",6,[27],1,[14997],1,0,-593.75,,29,11,2007,29,11,2007,paiementcheque,2344813,7881190056211,TND Sodeps,TND,c 2344813 rgt/f.hamadi,best tnd sodeps
28,"[74011, 81003, 87011, 95787]",4,[28],1,[14995],1,1,-2955.3,,29,11,2007,29,11,2007,paiementcheque,2344811,7881190056211,TND Sodeps,TND,c 2344811 rgt/f.metal,best tnd sodeps
29,"[9871, 11196, 46602, 94804]",4,[29],1,[14999],1,3,-396.4,,10,12,2007,10,12,2007,paiementcheque,2344814,7881190056211,TND Sodeps,TND,c 2344814 rgt/quit.steg,best tnd sodeps
30,"[21759, 68519, 87607]",3,[30],1,[14998],1,0,-104166,,12,12,2007,12,12,2007,paiementcheque,2344815,7881190056211,TND Sodeps,TND,c 2344815 rgt/t.vehicule,best tnd sodeps
31,"[12697, 24692, 29471, 46549, 46982, 71386, 71894, 73163]",8,[31],1,[15105],1,8,-213.5,,10,1,2008,10,1,2008,paiementcheque,2344816,7881190056211,TND Sodeps,TND,c 2344816 rgt/quit.sonede,best tnd sodeps 5621
32,"[11267, 36765, 39294, 61867, 72018, 72134, 82120, 92901]",8,[32],1,[15104],1,26,-239885,,28,1,2008,28,1,2008,paiementcheque,2344817,7881190056211,TND Sodeps,TND,c 2344817 rgt/f.monoprix,best tnd sodeps 5621
33,"[989, 2108, 11397, 50434, 74509, 77864, 85923]",7,[33],1,[15124],1,0,-401.0,,26,2,2008,26,2,2008,paiementcheque,2344819,7881190056211,TND Sodeps,TND,c 2344819 rgt/f.restauran,best tnd sodeps 5621
34,"[14083, 16009, 56251, 62149, 72434]",5,[34],1,[15126],1,4,-98.5,,7,4,2008,7,4,2008,paiementcheque,2344820,7881190056211,TND Sodeps,TND,c 2344820 rgt/f.ambassade,best tnd sodeps 5621
35,[74589],1,[35],1,[15115],1,7,-3475611,,12,11,2008,12,11,2008,paiementcheque,2603996,7881190056211,TND Sodeps,TND,c 2603996 rgt/quit.ptt 3o,best tnd sodeps 5621
36,[47500],1,[36],1,[15107],1,0,-314.0,,21,11,2008,21,11,2008,paiementcheque,2603998,7881190056211,TND Sodeps,TND,c 2603998 rgt/f.restau.bf,best tnd sodeps 5621
37,[47244],1,[37],1,[15110],1,2,-608118,,27,11,2008,27,11,2008,paiementcheque,2604001,7881190056211,TND Sodeps,TND,c 2604001 rgt/f.serviced,best tnd sodeps 5621
38,[76037],1,[38],1,[15109],1,2,-5250008,,27,11,2008,27,11,2008,paiementcheque,2604000,7881190056211,TND Sodeps,TND,c 2604000 rgt/f.m.slama,best tnd sodeps 5621
39,[71280],1,[39],1,[15111],1,0,-2750.0,,27,11,2008,27,11,2008,paiementcheque,2604002,7881190056211,TND Sodeps,TND,c 2604002 rgt/salaire 11,best tnd sodeps 5621
40,[89608],1,[40],1,[15117],1,1,-1602.0,,2,12,2008,2,12,2008,virtemiscomp,,7881190056211,TND Sodeps,TND,virement/salaire 11,best tnd sodeps 5621
41,[49886],1,[41],1,[15108],1,8,-1767.39,,3,12,2008,3,12,2008,paiementcheque,2603999,7881190056211,TND Sodeps,TND,c 2603999 rgt/f.tic,best tnd sodeps 5621
42,,,[42],1,[15122],1,0,161153088,,30,12,2008,30,12,2008,virement,,7881190056211,TND Sodeps,TND,virement/sodeps,best tnd sodeps 5621
43,[78851],1,[43],1,[15121],1,0,-898613,,30,12,2008,30,12,2008,paiementcheque,2604006,7881190056211,TND Sodeps,TND,c 2604006 rem/expences,best tnd sodeps 5621
44,"[13281, 76816]",2,[44],1,[15119],1,1,-840.0,,31,12,2008,31,12,2008,paiementcheque,2604004,7881190056211,TND Sodeps,TND,c 2604004 rgt/salaire12/8,best tnd sodeps 5621
45,[72141],1,[45],1,[15118],1,1,-428278,,31,12,2008,31,12,2008,paiementcheque,2604003,7881190056211,TND Sodeps,TND,c 2604003 rgt/f.moteur,best tnd sodeps 5621
46,"[11242, 91784]",2,[46],1,[15123],1,0,-51515761,,31,12,2008,31,12,2008,paiementcheque,2604007,7881190056211,TND Sodeps,TND,c 2604007 rgt/f.slvm,best tnd sodeps 5621
47,"[19470, 20024, 26916, 39132, 58470, 61494, 61537, 67221, 77778, 81859, 82901, 87870, 94436, 96022, 96544, 97337, 98532, 104909, 104958, 105640, 106359, 106488, 107286, 111998, 112246, 112332, 112559]",27,[47],1,[15157],1,0,-782.0,,5,1,2009,5,1,2009,paiementcheque,2603963,7881190056211,TND Sodeps,TND,c 2603963 rgt/f.taleb,best tnd sodeps 5621
48,"[7803, 13502, 22723, 38658, 39963, 58136, 58344, 71005, 73324, 76489, 78559, 80784, 82159, 82808, 82982, 83185, 83200, 83602, 85350, 87201, 87354, 87514, 87821, 87834, 88299, 93839, 93843, 95055, 96225, 96625, 97413, 103790, 104658, 105940, 107631, 108839, 112352, 112443, 112560]",39,[48],1,[15159],1,0,-1567.5,,5,1,2009,5,1,2009,paiementcheque,2603962,7881190056211,TND Sodeps,TND,c 2603962 rgt/f.attiri,best tnd sodeps 5621
49,"[9064, 12694, 17254, 18434, 41284, 48587, 73186, 77116, 80729, 81925, 86707, 86802, 86966, 87978, 89965, 94196, 95644, 96134, 97027, 98207, 98294, 105037, 105388, 105545, 106226, 106748, 112474, 112492, 117539, 118722, 119276]",31,[49],1,[15156],1,0,-1000.0,,5,1,2009,5,1,2009,paiementcheque,2603964,7881190056211,TND Sodeps,TND,c 2603964 avance/bob,best tnd sodeps 5621
50,"[7298, 11046, 12158, 13018, 15904, 22606, 26812, 36372, 48575, 58920, 86347, 86564, 87069, 87853, 88978, 93915, 96209, 98737, 101849, 102301, 104319, 104596, 106713, 106799, 108379, 112489, 120510]",27,[50],1,[15162],1,0,910.0,,6,1,2009,6,1,2009,encaissement,226028,7881190056211,TND Sodeps,TND,verst/cheque no0226028,best tnd sodeps 5621
51,"[7298, 11046, 12158, 13018, 15904, 22606, 26812, 36372, 48575, 58920, 86347, 86564, 87069, 87853, 88978, 93915, 96209, 98737, 101849, 102301, 104319, 104596, 106713, 106799, 108379, 112489, 120510]",27,[51],1,[15163],1,0,-0.6,,6,1,2009,6,1,2009,commission,226028,7881190056211,TND Sodeps,TND,comm/verst cheque,best tnd sodeps 5621
52,,,[52],1,[15120],1,8,-77.6,,7,1,2009,7,1,2009,paiementcheque,2604005,7881190056211,TND Sodeps,TND,c 2604005 rgt/sonede b.,best tnd sodeps 5621
53,"[7885, 8760, 9321, 14623, 17699, 33955, 44345, 45120, 50856, 81781, 81964, 82952, 83610, 83678, 86415, 87026, 88852, 92681, 95484, 95698, 95974, 96960, 98311, 104078, 105710, 106843, 112446, 112635]",28,[53],1,[15158],1,2,-37.5,,7,1,2009,7,1,2009,paiementcheque,2603961,7881190056211,TND Sodeps,TND,c 2603961 rgt/quit.sonede,best tnd sodeps 5621
54,"[32882, 40509, 40991, 47126, 53287, 82666, 83325, 86974, 87891, 93521, 94191, 95929, 97055, 105857, 106441, 111987, 112257, 112400, 124972]",19,[54],1,[15161],1,1,-1582725,,7,1,2009,7,1,2009,paiementcheque,2603965,7881190056211,TND Sodeps,TND,c 2603965 rgt/expences,best tnd sodeps 5621
