TransactionIndex,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,GL Memo,Bank Account,Bank Name,Bank Currency,GL Company
743,[773],1,[],0,0,-1500,,7,5,2002,7,5,2002,retraitespeces,rcashbachar,,7.89E+12,CTD,TNC,
16643,[16792],1,[],0,0,-612.44,,14,5,2002,14,5,2002,retraitespeces,rcashdere,,8.40E+12,USD,USD,
16646,[16795],1,[],0,0,-251,,24,5,2002,24,5,2002,retraitespeces,rcashghra,,8.40E+12,USD,USD,
16648,[16797],1,[],0,0,-200.8,,28,5,2002,28,5,2002,retraitespeces,rcashrobe,,8.40E+12,USD,USD,
16660,[16809],1,[],0,0,-502,,6,6,2002,6,6,2002,retraitespeces,rcashbob,,8.40E+12,USD,USD,
16662,[16811],1,[],0,0,-200.8,,13,6,2002,13,6,2002,retraitespeces,rcashpaul,,8.40E+12,USD,USD,
16665,[16814],1,[],0,0,-1857.4,,18,6,2002,18,6,2002,retraitespeces,rcashdere,,8.40E+12,USD,USD,
16673,[16822],1,[],0,0,-502,,1,7,2002,1,7,2002,retraitespeces,rcashghram,,8.40E+12,USD,USD,
16674,[16823],1,[],0,0,-1305.2,,1,7,2002,1,7,2002,retraitespeces,rcashspin,,8.40E+12,USD,USD,
16685,[16834],1,[],0,0,-692.76,,11,7,2002,11,7,2002,retraitespeces,rcashbach,,8.40E+12,USD,USD,
903,[933],1,[],0,0,-1500,,19,7,2002,19,7,2002,retraitespeces,rcashbach,,7.89E+12,CTD,TNC,
16710,[16859],1,[],0,0,-251,,1,8,2002,1,8,2002,retraitespeces,retfavba,,8.40E+12,USD,USD,
16716,[16865],1,[],0,0,-5020,,8,8,2002,8,8,2002,retraitespeces,retraitca,,8.40E+12,USD,USD,
16735,[16884],1,[],0,0,-725.89,,2,9,2002,2,9,2002,retraitespeces,rcashste,,8.40E+12,USD,USD,
16748,[16897],1,[],0,0,-5020,,9,9,2002,9,9,2002,retraitespeces,rcashihram,,8.40E+12,USD,USD,
16754,[16903],1,[],0,0,-502,,13,9,2002,13,9,2002,retraitespeces,rcashrobe,,8.40E+12,USD,USD,
16781,[16930],1,[],0,0,-8534,,16,10,2002,16,10,2002,retraitespeces,rcashloui,,8.40E+12,USD,USD,
16783,[16932],1,[],0,0,-617.46,,17,10,2002,17,10,2002,retraitespeces,rcashchri,,8.40E+12,USD,USD,
16793,[16942],1,[],0,0,-3012,,31,10,2002,31,10,2002,retraitespeces,rcashbach,,8.40E+12,USD,USD,
16819,[16968],1,[],0,0,-3576.8,,25,11,2002,25,11,2002,retraitespeces,rcashchri,,8.40E+12,USD,USD,
